SV-ID;MassnahmeID;Status;Pruefung;Betroffene_Dateien;Kurznotiz
SV-001;M-001;DONE;PASS;src/services/pdf_unlock.py, AGENTS.md;Fallback-Listen + Klartext-PW entfernt
SV-002;M-002;DONE;PASS;api/lib/response.php, api/index.php;Security Headers (B1) implementiert
SV-003;M-003;DONE;PASS;api/lib/rate_limiter.php, api/auth.php, setup/013;Rate-Limiting Login (B2) implementiert
SV-004;M-004;DONE;PASS;api/ai.php, src/api/openrouter.py;OpenRouter-Proxy (B3): Key bleibt auf Server
SV-005;M-005;DONE;PASS;src/api/auth.py, requirements.txt;Token-Schutz via keyring + chmod Fallback (B5)
SV-006;M-006;DONE;PASS;api/passwords.php, setup/014;Passwoerter AES-256-GCM verschluesselt
SV-007;M-007;DONE;PASS;src/services/zip_handler.py;Zip-Bomb-Schutz: 500MB kumulativ, 100MB pro Datei
SV-008;M-008;DONE;PASS;src/bipro/transfer_service.py;PEM-Temp-Files: atexit + chmod 0600 (B4)
SV-009;M-009;DONE;PASS;docs/DEPLOYMENT.md;Deployment-Checkliste erstellt
SV-010;M-010;DONE;PASS;src/config/certificates.py;Zertifikate: chmod 0600 nach Copy
SV-011;M-011;DONE;PASS;requirements.txt, requirements-lock.txt;Obere Grenzen + Lockfile
SV-012;M-012;DONE;PASS;api/gdv.php, api/activity.php;LIMIT/OFFSET als Prepared-Statement-Parameter
SV-013;M-013;DONE;PASS;api/ai.php;PII-Redaktion im Proxy (Email, IBAN, Phone)
SV-014;M-014;DONE;PASS;src/bipro/transfer_service.py;STS/Acknowledge Response auf 200 Zeichen gekuerzt
SV-015;M-015;DONE;PASS;src/bipro/transfer_service.py;Proxy via BIPRO_USE_SYSTEM_PROXY env var
SV-016;M-016;DONE;PASS;src/services/update_service.py;Pinning-Infrastruktur vorbereitet (Hash fehlt noch)
SV-017;M-017;BLOCKED;NA;build.bat;Code-Signing: Authenticode-Zertifikat muss beschafft werden
SV-018;M-018;DONE;PASS;setup/.htaccess;Require all denied
SV-019;M-019;DONE;PASS;api/lib/log_cleanup.php, api/index.php;Probabilistischer Cleanup (1%, 90 Tage)
SV-020;M-020;BLOCKED;NA;api/lib/crypto.php;HKDF: Erfordert DB-Migration + Wartungsfenster
SV-021;M-021;DONE;PASS;api/documents.php;MIME-Type-Whitelist fuer alle Uploads
SV-022;M-022;DONE;PASS;composer.json;PHP Dependency-Management dokumentiert
SV-023;M-023;DONE;PASS;api/index.php;API-Version aus /status entfernt
SV-024;M-024;DONE;PASS;src/services/pdf_unlock.py;try/finally mit garantiertem Cleanup
SV-025;M-025;DONE;PASS;src/services/msg_handler.py;Fehler geloggt statt verschluckt
SV-026;M-026;DONE;PASS;docs/SECURITY.md;CRL/OCSP dokumentiert + Risiko-Bewertung
SV-027;M-027;DONE;PASS;docs/SECURITY.md;Lizenz-Kompatibilitaet dokumentiert
SV-028;M-028;BLOCKED;NA;-;Monitoring: Externer Dienst (UptimeRobot) muss eingerichtet werden
SV-029;M-029;BLOCKED;NA;api/lib/db.php, docs/SECURITY.md;MySQL-SSL: Strato-Pruefung noetig, dokumentiert
SV-030;M-030;DONE;PASS;src/tests/test_security.py;7 Security-Tests erstellt
